seconds_from_start,x,y,z,finished
13.328,400.0,10.00150203704834,368.0,0
13.39,400.0,10.00150203704834,368.0,0
13.453,400.0,10.00150203704834,368.0,0
13.515,400.0,10.00150203704834,368.0,0
13.578,400.0,10.00150203704834,368.0,0
13.64,400.0,10.00150203704834,368.0,0
13.703,400.0,10.00150203704834,368.0,0
13.765,400.0,10.00150203704834,368.0,0
13.828,400.0,10.00150203704834,368.0,0
13.89,400.0,10.00150203704834,368.0,0
13.953,400.0,10.00150203704834,368.0,0
14.015,400.0,10.00150203704834,368.0,0
14.078,400.0,10.00150203704834,368.0,0
14.14,400.0,10.00150203704834,368.0,0
14.203,400.0,10.00150203704834,368.0,0
14.265,400.0,10.00150203704834,368.0,0
14.328,400.0,10.00150203704834,368.0,0
14.39,400.0,10.00150203704834,368.0,0
14.453,400.0,10.00150203704834,368.0,0
14.515,400.0,10.00150203704834,368.0,0
14.578,400.0,10.00150203704834,368.0,0
14.64,400.0,10.00150203704834,368.0,0
14.703,400.0,10.00150203704834,368.0,0
14.765,400.0,10.00150203704834,368.0,0
14.828,400.0,10.00150203704834,368.0,0
14.89,400.0,10.00150203704834,368.0,0
14.953,400.0,10.00150203704834,368.0,0
15.015,400.0,10.00150203704834,368.0,0
15.078,400.0,10.00150203704834,368.0,0
15.14,400.0,10.00150203704834,368.0,0
15.203,400.0,10.00150203704834,368.0,0
15.265,400.0,10.00150203704834,368.0,0
15.328,400.0,10.00150203704834,368.0,0
15.39,400.0,10.00150203704834,368.0,0
15.453,400.0,10.00150203704834,368.0,0
15.515,400.0,10.00150203704834,368.0,0
15.578,400.0,10.00150203704834,368.0,0
15.64,400.0,10.00150203704834,368.0,0
15.703,400.0,10.00150203704834,368.0,0
15.765,400.0,10.00150203704834,368.0,0
15.828,400.0,10.00150203704834,368.0,0
15.89,400.0,10.00150203704834,368.0,0
15.953,400.0,10.00150203704834,368.0,0
16.015,400.0,10.00150203704834,368.0,0
16.078,400.0,10.00150203704834,368.0,0
16.14,400.0,10.00150203704834,368.0,0
16.203,400.0,10.00150203704834,368.0,0
16.265,400.0,10.00150203704834,368.0,0
16.328,400.0,10.00150203704834,368.0,0
16.39,400.0,10.00150203704834,368.0,0
16.453,400.0,10.00150203704834,368.0,0
16.515,400.0,10.00150203704834,368.0,0
16.578,400.0,10.00150203704834,368.0,0
